Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp
running,2019-07-01 19:03:22,false,"New York Running","6.00","505","00:53:29","171","190","4.9","176","194","8:55","6:17","118","123","1.03","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:01.89","7","0.0"
running,2019-06-30 12:47:03,false,"New York Running","3.00","240","00:28:04","154","176","3.2","173","184","9:21","7:45","91","71","1.00","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:01.79","4","0.0"
running,2019-06-29 08:32:59,false,"New York Running","7.31","537","00:59:48","165","196","4.3","174","239","8:11","7:08","151","174","1.13","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","02:24.68","8","0.0"
running,2019-06-26 11:37:31,false,"New York Running","4.01","314","00:34:19","163","176","3.7","170","180","8:34","7:18","92","96","1.10","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:03.85","5","0.0"
running,2019-06-23 19:47:48,false,"New York Running","3.01","229","00:24:53","161","175","3.2","170","181","8:16","7:34","59","20","1.14","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:02.21","4","0.0"
running,2019-06-21 11:10:39,false,"New York Running","4.01","313","00:34:02","159","188","3.6","173","183","8:30","7:39","143","111","1.10","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:02.85","5","0.0"
running,2019-06-19 11:47:43,false,"New York Running","5.81","387","00:44:50","155","172","3.6","180","200","7:43","6:41","43","33","1.16","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","06:05.50","6","0.0"
running,2019-06-16 10:52:26,false,"New York Running","1.23","106","00:12:51","152","179","2.4","171","196","10:29","7:26","--","1","0.90","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:01.22","4","0.0"
running,2019-06-16 10:30:03,false,"New York Running","1.01","50","00:05:54.3","155","165","1.9","193","214","5:51","5:11","11","28","1.43","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:02.88","2","0.0"
running,2019-06-16 08:56:42,false,"New York Running","1.05","79","00:09:24.7","152","174","2.1","173","245","8:58","6:50","23","25","1.04","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:25.10","2","0.0"
running,2019-06-12 20:04:05,false,"New York Running","1.12","90","00:09:27.8","170","179","2.5","171","179","8:27","7:42","--","--","1.12","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","01:00.47","2","0.0"
running,2019-06-12 19:25:32,false,"New York Running","4.41","269","00:30:34","164","179","3.6","176","197","6:56","5:38","7","7","1.31","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:05.69","12","0.0"
running,2019-06-10 19:02:49,false,"New York Running","4.63","323","00:41:38","145","175","3.2","174","193","9:00","6:39","72","79","1.03","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","05:13.40","5","0.0"
